id_transaksi,tanggal_transaksi,minggu_ke,bulan_ke,nama_pelanggan,nama_daerah,jenis_usaha,id_distributor,nama_barang,kategori_produk,kemasan,jumlah_barang,harga_idr,pendapatan
IN6277,2022-04-28,17,April,"KLINIK GM",Jakarta,Klinik,TA,PARACETAMOL,SLCYL,BOTOL,34,21000.00,714000.00
IN6280,2022-01-23,4,January,"KLINIK SAHABAT",Tangerang,Klinik,TD,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,1,47000.00,47000.00
IN6283,2022-05-19,20,May,"KLINIK DR. ANDRI",Lampung,Klinik,TD,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,10,47000.00,470000.00
IN6291,2022-02-01,5,February,"KLINIK SAHABAT",Tangerang,Klinik,TD,PARACETAMOL,SLCYL,BOTOL,11,21000.00,231000.00
IN6293,2022-02-01,5,February,"KLINIK SAHABAT",Tangerang,Klinik,TD,PARACETAMOL,SLCYL,BOTOL,4,21000.00,84000.00
IN6299,2022-01-27,4,January,"KLINIK DR. ANDRI",Lampung,Klinik,TD,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,12,47000.00,564000.00
IN6303,2022-01-28,4,January,"KLINIK GM",Jakarta,Klinik,TA,PARACETAMOL,SLCYL,BOTOL,95,21000.00,1995000.00
IN5997,2022-01-20,3,January,"APOTEK TAPAK",Aceh,Apotek,EPM,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,40,47000.00,1880000.00
IN6297,2022-01-20,3,January,"APOTEK MAJA",Kuningan,Apotek,TA,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,15,47000.00,705000.00
IN6155,2022-01-21,3,January,"KLINIK GM",Jakarta,Klinik,TA,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,12,47000.00,564000.00
IN6155,2022-01-21,3,January,"KLINIK GM",Jakarta,Klinik,TA,PARACETAMOL,SLCYL,BOTOL,12,21000.00,252000.00
IN6144,2022-01-22,3,January,"APOTEK MERDEKA",Bandung,Apotek,TA,PARACETAMOL,SLCYL,BOTOL,13,21000.00,273000.00
IN6280,2022-01-23,4,January,"KLINIK SAHABAT",Tangerang,Klinik,TD,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,5,47000.00,235000.00
IN6280,2022-01-23,4,January,"KLINIK SAHABAT",Tangerang,Klinik,TD,PARACETAMOL,SLCYL,BOTOL,10,21000.00,210000.00
IN6052,2022-01-23,4,January,"APOTEK SINAR JAYA",Bekasi,Apotek,TA,PARACETAMOL,SLCYL,BOTOL,5,21000.00,105000.00
IN6251,2022-01-23,4,January,"APOTEK TAPAK",Aceh,Apotek,EPM,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,5,47000.00,235000.00
IN6036,2022-01-27,4,January,"APOTEK MAJA",Kuningan,Apotek,TA,PARACETAMOL,SLCYL,BOTOL,10,21000.00,210000.00
IN6029,2022-01-28,4,January,"KLINIK GM",Jakarta,Klinik,TA,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,7,47000.00,329000.00
IN6029,2022-01-28,4,January,"KLINIK GM",Jakarta,Klinik,TA,PARACETAMOL,SLCYL,BOTOL,20,21000.00,420000.00
IN6287,2022-01-30,5,January,"KLINIK SAHABAT",Tangerang,Klinik,TD,PARACETAMOL,SLCYL,BOTOL,16,21000.00,336000.00
IN6024,2022-01-27,4,January,"KLINIK DR. ANDRI",Lampung,Klinik,TD,PARACETAMOL,SLCYL,BOTOL,16,21000.00,336000.00
IN6307,2022-01-23,4,January,"APOTEK MAJA",Kuningan,Apotek,TA,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,14,47000.00,658000.00
IN6023,2022-02-01,5,February,"KLINIK SAHABAT",Tangerang,Klinik,TD,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,10,47000.00,470000.00
IN6113,2022-02-01,5,February,"KLINIK GM",Jakarta,Klinik,TA,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,12,47000.00,564000.00
IN6259,2022-02-01,5,February,"APOTEK MERDEKA",Bandung,Apotek,TA,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,18,47000.00,846000.00
IN6063,2022-02-01,5,February,"APOTEK TAPAK",Aceh,Apotek,EPM,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,24,47000.00,1128000.00
IN6063,2022-02-01,5,February,"APOTEK TAPAK",Aceh,Apotek,EPM,PARACETAMOL,SLCYL,BOTOL,67,21000.00,1407000.00
IN6064,2022-02-02,5,February,"APOTEK TAPAK",Aceh,Apotek,EPM,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,24,47000.00,1128000.00
IN6131,2022-01-28,4,January,"APOTEK MAJA",Kuningan,Apotek,TA,PARACETAMOL,SLCYL,BOTOL,27,21000.00,567000.00
IN6028,2022-01-30,5,January,"APOTEK MERDEKA",Bandung,Apotek,TA,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,9,47000.00,423000.00
IN6028,2022-01-30,5,January,"APOTEK MERDEKA",Bandung,Apotek,TA,PARACETAMOL,SLCYL,BOTOL,78,21000.00,1638000.00
IN6306,2022-01-27,4,January,"APOTEK SINAR JAYA",Bekasi,Apotek,TA,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,34,47000.00,1598000.00
